country_name,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018
Aruba,,,,,,
Afghanistan,9,9,9,9,9,10
Angola,1,1,1,1,1,1
Albania,7,6,6,6,8,8
Andorra,,,,,,
Arab World,1.476190476,1.476190476,1.409090909,1.409090909,1.772727273,2.363636364
United Arab Emirates,2,2,2,2,2,6
Argentina,3,3,3,3,3,3
Armenia,4,4,4,6,6,6
Australia,11,11,11,11,11,11
Austria,4,4,4,4,4,4
Azerbaijan,2,2,2,2,2,8
Burundi,2,2,2,2,2,2
Belgium,4,4,4,4,4,8
Benin,6,6,6,6,6,6
Burkina Faso,6,6,6,6,6,6
Bangladesh,5,5,5,5,5,5
Bulgaria,8,8,8,8,8,8
Bahrain,1,1,1,1,1,1
Belize,4,4,4,4,4,4
Bermuda,,,,,,
Bolivia,0,0,0,0,0,0
Brazil,2,2,2,2,2,2
Barbados,6,6,6,6,6,6
Brunei Darussalam,4,4,4,5,12,12
Bhutan,4,4,4,4,4,4
Botswana,5,5,5,5,5,5
Central African Republic,6,6,6,6,6,6
Canada,9,9,9,9,9,9
Switzerland,6,6,6,6,6,6
Chile,4,4,4,4,4,4
China,4,4,4,4,4,4
Cote d'Ivoire,6,6,6,6,6,6
Cameroon,6,6,6,6,6,6
Colombia,4,12,12,12,12,12
Comoros,6,6,6,6,6,6
Cabo Verde,1,1,1,1,1,1
Costa Rica,2,2,10,10,10,10
Cuba,,,,,,
Curacao,,,,,,
Cyprus,7,7,7,7,7,7
Germany,6,6,6,6,6,6
Djibouti,1,1,1,1,1,5
Dominica,6,6,6,6,6,6
Denmark,8,8,8,8,8,8
Algeria,2,2,2,2,2,2
Ecuador,1,1,1,1,1,1
Spain,5,5,5,5,5,5
Estonia,7,7,7,7,7,7
Ethiopia,3,3,3,3,3,3
Finland,7,7,7,7,7,7
Fiji,5,5,5,5,5,5
France,4,4,4,4,4,4
Gabon,6,6,6,6,6,6
Georgia,9,9,9,9,9,9
Ghana,6,6,6,6,6,6
Gibraltar,,,,,,
Guinea,6,6,6,6,6,6
Greece,3,3,3,3,3,3
Grenada,6,6,6,6,6,6
Guatemala,9,9,9,9,9,9
Guyana,3,3,3,3,3,3
"Hong Kong SAR, China",7,7,8,8,8,8
Honduras,9,9,9,9,9,9
